Subject,Original_Acc,Compressed_Acc,Diff
abstract_algebra,0.4,0.45,-0.04999999999999999
anatomy,0.6296296296296297,0.5185185185185185,0.11111111111111116
astronomy,0.9666666666666667,0.9666666666666667,0.0
business_ethics,0.85,0.85,0.0
clinical_knowledge,0.7547169811320755,0.7358490566037735,0.018867924528301994
college_biology,0.8928571428571429,0.8571428571428571,0.03571428571428581
college_chemistry,0.55,0.45,0.10000000000000003
college_computer_science,0.75,0.65,0.09999999999999998
college_mathematics,0.4,0.4,0.0
college_medicine,0.7352941176470589,0.7352941176470589,0.0
college_physics,0.65,0.65,0.0
computer_security,0.75,0.75,0.0
conceptual_physics,0.9148936170212766,0.8936170212765957,0.021276595744680882
econometrics,0.8181818181818182,0.8636363636363636,-0.045454545454545414
electrical_engineering,0.7241379310344828,0.7586206896551724,-0.03448275862068961
elementary_mathematics,0.64,0.6133333333333333,0.026666666666666727
formal_logic,0.68,0.6,0.08000000000000007
global_facts,0.55,0.6,-0.04999999999999993
high_school_biology,0.9032258064516129,0.8709677419354839,0.032258064516129004
high_school_chemistry,0.75,0.75,0.0
high_school_computer_science,0.95,0.95,0.0
high_school_european_history,0.8484848484848485,0.8787878787878788,-0.030303030303030276
high_school_geography,0.7692307692307693,0.8205128205128205,-0.05128205128205121
high_school_government_and_politics,0.9473684210526315,0.9473684210526315,0.0
high_school_macroeconomics,0.8717948717948718,0.8846153846153846,-0.012820512820512775
high_school_mathematics,0.5185185185185185,0.5,0.01851851851851849
high_school_microeconomics,0.9574468085106383,0.8936170212765957,0.06382978723404265
high_school_physics,0.5,0.5,0.0
high_school_psychology,0.944954128440367,0.944954128440367,0.0
high_school_statistics,0.6511627906976745,0.7209302325581395,-0.06976744186046502
high_school_us_history,0.9,0.95,-0.04999999999999993
high_school_world_history,0.851063829787234,0.851063829787234,0.0
human_aging,0.8181818181818182,0.75,0.06818181818181823
human_sexuality,0.8461538461538461,0.8076923076923077,0.038461538461538436
international_law,0.9166666666666666,0.8333333333333334,0.08333333333333326
jurisprudence,0.8095238095238095,0.8095238095238095,0.0
logical_fallacies,0.8125,0.8125,0.0
machine_learning,0.5454545454545454,0.5454545454545454,0.0
management,0.85,0.9,-0.050000000000000044
marketing,0.9130434782608695,0.8695652173913043,0.04347826086956519
medical_genetics,1.0,0.95,0.050000000000000044
miscellaneous,0.8141025641025641,0.8076923076923077,0.0064102564102563875
moral_disputes,0.6666666666666666,0.6231884057971014,0.04347826086956519
moral_scenarios,0.3854748603351955,0.36312849162011174,0.022346368715083775
nutrition,0.8852459016393442,0.8852459016393442,0.0
philosophy,0.7903225806451613,0.8225806451612904,-0.032258064516129115
prehistory,0.8125,0.828125,-0.015625
professional_accounting,0.48214285714285715,0.42857142857142855,0.0535714285714286
professional_law,0.5424836601307189,0.5228758169934641,0.019607843137254832
professional_medicine,0.7592592592592593,0.7407407407407407,0.0185185185185186
professional_psychology,0.7786885245901639,0.8032786885245902,-0.024590163934426257
public_relations,0.6363636363636364,0.6818181818181818,-0.045454545454545414
security_studies,0.7959183673469388,0.7346938775510204,0.061224489795918324
sociology,0.825,0.75,0.07499999999999996
us_foreign_policy,0.9,0.9,0.0
virology,0.5454545454545454,0.5151515151515151,0.030303030303030276
world_religions,0.9117647058823529,0.8529411764705882,0.05882352941176472
